Time,TotalPrivateBytes,TimeWorkingSet
15:53:08,4242997248,6864449536
15:53:13,4226551808,6845747200
15:53:18,4226744320,6844379136
15:53:23,4226760704,6844575744
15:53:28,4227301376,6844796928
15:53:33,4229255168,6846111744
15:53:38,4227952640,6842359808
15:53:43,4227887104,6843711488
15:53:48,4227440640,6841122816
15:53:53,4228505600,6841565184
15:53:58,4259733504,6883610624
15:54:03,4217802752,6776307712
15:54:08,4188909568,6756737024
15:54:13,4182675456,6747406336
15:54:18,4177547264,6738796544
15:54:23,4158779392,6703710208
15:54:28,4158570496,6703599616
15:54:33,4217688064,6764417024
15:54:38,4223029248,6772776960
15:54:43,4214734848,6763515904
15:54:48,4188082176,6750248960
15:54:53,4180971520,6731124736
15:54:58,4289908736,6904041472
15:55:03,4311949312,6923374592
15:55:08,4262309888,6867292160
15:55:13,4275093504,6949289984
15:55:18,4272082944,6860750848
15:55:23,4272648192,6861287424
15:55:28,4286242816,6884220928
15:55:33,4305104896,6901665792
15:55:38,4339146752,7009538048
15:55:43,4385452032,7084781568
15:55:48,4375334912,7058317312
15:55:53,4347703296,7030652928
15:55:58,4348878848,7031480320
15:56:03,4334665728,7018127360
15:56:08,4331376640,7019626496
15:56:13,4331667456,7021056000
15:56:18,4330213376,7014703104
15:56:23,4329476096,6997950464
15:56:28,4327149568,6991597568
15:56:33,4330229760,6995357696
15:56:38,4328308736,6992531456
15:56:43,4327165952,6988005376
15:56:48,4327448576,6976589824
15:56:53,4327186432,6975979520
15:56:58,4328140800,6977101824
15:57:03,4329717760,6980177920
15:57:08,4327485440,6978818048
15:57:13,4328398848,6980087808
15:57:18,4327780352,6979391488
15:57:23,4332916736,6986514432
15:57:28,4324663296,6977486848
15:57:33,4327186432,6980730880
15:57:38,4322463744,6975778816
15:57:43,4324368384,6868578304
15:57:48,4327026688,6884438016
15:57:53,4324200448,6881030144
15:57:58,4327538688,6881386496
15:58:03,4312600576,6863482880
15:58:08,4308762624,6860271616
15:58:13,4311138304,6862979072
15:58:18,4311556096,6863069184
15:58:23,4311658496,6858502144
15:58:28,4312616960,6858854400
15:58:33,4314845184,6861303808
15:58:38,4312313856,6858022912
15:58:43,4332187648,6903701504
15:58:48,4331048960,6902808576
15:58:53,4331151360,6903685120
15:58:58,4329091072,6902329344
15:59:03,4331835392,6906433536
15:59:08,4330475520,6906859520
15:59:13,4338552832,6914887680
15:59:18,4402561024,7132516352
15:59:23,4442734592,7235411968
15:59:28,4483833856,7216427008
15:59:33,4606865408,7346675712
15:59:38,4678721536,7408758784
15:59:43,4736102400,7463133184
15:59:48,4754317312,7488667648
15:59:53,4757614592,7502282752
15:59:58,4771631104,7523770368
16:00:03,4773347328,7526219776
16:00:08,4770500608,7521628160
16:00:13,4771356672,7523389440
16:00:18,4769910784,7522123776
16:00:23,4768718848,7512027136
16:00:28,4771618816,7516438528
16:00:33,4781322240,7526023168
16:00:38,4880011264,7570018304
16:00:43,4876521472,7582703616
16:00:48,4849029120,7544164352
16:00:53,4826030080,7573913600
16:00:58,4909707264,7662710784
16:01:03,4913963008,7707230208
16:01:08,4899999744,7723270144
16:01:13,4899549184,7722504192
16:01:18,4900352000,7723364352
16:01:23,4898557952,7710646272
16:01:28,5009911808,7828439040
16:01:33,5013671936,7829889024
16:01:38,4958146560,7752114176
16:01:43,4956426240,7743717376
16:01:48,4953931776,7741255680
16:01:53,4946194432,7733207040
16:01:58,4951146496,7739576320
16:02:03,5005729792,7809064960
16:02:08,4975136768,7765110784
16:02:13,4950384640,7740235776
16:02:18,5003522048,7801970688
16:02:23,4964233216,7758536704
16:02:28,4971446272,7798267904
16:02:33,4811550720,7594647552
16:02:38,4783300608,7555698688
16:02:43,4971905024,7559876608
16:02:48,5006880768,7682277376
16:02:53,5041840128,7719436288
16:02:58,5013938176,7694213120
16:03:03,4987518976,7668473856
16:03:08,5040128000,7715061760
16:03:13,4971241472,7655886848
16:03:18,4934537216,7609544704
16:03:23,4933554176,7595331584
16:03:28,4932358144,7594291200
16:03:33,4935749632,7598264320
16:03:38,4736421888,7434567680
16:03:43,4946448384,7480037376
16:03:48,4946382848,7608410112
16:03:53,4938981376,7601455104
16:03:58,4925009920,7588446208
16:04:03,4928962560,7592673280
16:04:08,4927545344,7590289408
16:04:13,4926459904,7594352640
16:04:18,4926992384,7594524672
16:04:23,4919742464,7573004288
16:04:28,4919463936,7572332544
16:04:33,4984471552,7635763200
16:04:38,5036703744,7693078528
16:04:43,4949348352,7600672768
16:04:48,4948795392,7611514880
16:04:53,4952338432,7618314240
16:04:58,4941225984,7586926592
16:05:03,4937588736,7587659776
16:05:08,4934483968,7584186368
16:05:13,4923301888,7576481792
16:05:18,4923854848,7452229632
16:05:23,4922363904,7440281600
16:05:28,4922351616,7441207296
16:05:33,4729487360,7288184832
16:05:38,4933431296,7328763904
16:05:43,4931940352,7481511936
16:05:48,4932067328,7489875968
16:05:53,4931674112,7490945024
16:05:58,4921942016,7481221120
16:06:03,4923551744,7483674624
16:06:08,4923244544,7483396096
16:06:13,4923551744,7485845504
16:06:18,4927574016,7491584000
16:06:23,4923375616,7485337600
16:06:28,4924432384,7489675264
16:06:33,4933177344,7515758592
16:06:38,4931424256,7513747456
16:06:43,4929785856,7513567232
16:06:48,4930256896,7520489472
16:06:53,4930691072,7522058240
16:06:58,4929273856,7520305152
16:07:03,4933468160,7523295232
16:07:08,4933156864,7523340288
16:07:13,4932444160,7523561472
16:07:18,4930977792,7523332096
16:07:23,4931366912,7518658560
16:07:28,4931555328,7527546880
16:07:33,4935536640,7530954752
16:07:38,4927733760,7505190912
16:07:43,5003116544,7591612416
16:07:48,5036793856,7573827584
16:07:53,4979740672,7537803264
16:07:58,5211914240,8009527296
16:08:03,5175668736,8004251648
16:08:08,5124440064,7935496192
16:08:13,5121929216,7932452864
16:08:18,5122547712,7932657664
16:08:23,5122433024,7921893376
16:08:28,5116502016,7905546240
16:08:33,5117493248,7907758080
16:08:38,5115535360,7906615296
16:08:43,5109370880,7903133696
16:08:48,5109637120,7901941760
16:08:53,5112262656,7905943552
16:08:58,5128155136,7935836160
16:09:03,5130088448,7940558848
16:09:08,5130674176,7936983040
16:09:13,5128777728,7929565184
16:09:18,5128790016,7929921536
16:09:23,5157625856,7959597056
16:09:28,5150908416,7961501696
16:09:33,5125996544,7937597440
16:09:38,5116092416,7929417728
16:09:43,5115224064,7929688064
16:09:48,5115580416,7928565760
16:09:53,5115367424,7928451072
16:09:58,5112659968,7934865408
16:10:03,5117210624,7942008832
16:10:08,5110198272,7924805632
16:10:13,5118607360,7933739008
16:10:18,5121425408,7937478656
16:10:23,5119012864,7930556416
16:10:28,5116944384,7928905728
16:10:33,5121740800,7933136896
16:10:38,5112827904,7926820864
16:10:43,5113139200,7928168448
16:10:48,5111545856,7926022144
16:10:53,5111521280,7927054336
16:10:58,4842848256,7664914432
16:11:03,4821295104,7643570176
16:11:08,4968083456,7765258240
16:11:13,4962299904,7747997696
16:11:18,4977004544,7756341248
16:11:23,4923031552,7719419904
16:11:28,4899401728,7698055168
16:11:33,4908408832,7710928896
16:11:38,4894302208,7687843840
16:11:43,4881412096,7675228160
16:11:48,4877869056,7671418880
16:11:53,4876062720,7669157888
16:11:58,4879949824,7679848448
16:12:03,4882190336,7683350528
16:12:08,4880744448,7680380928
16:12:13,4878651392,7679057920
16:12:18,4880420864,7680802816
16:12:23,4880564224,7676743680
16:12:28,4879958016,7676657664
16:12:33,4883017728,7679393792
16:12:38,4880961536,7673688064
16:12:43,4879872000,7671160832
16:12:48,4883197952,7505199104
16:12:53,4880216064,7500677120
16:12:58,4880781312,7496138752
16:13:03,4881092608,7496634368
16:13:08,4917362688,7511998464
16:13:13,4902408192,7497641984
16:13:18,4903071744,7498625024
16:13:23,4902899712,7499235328
16:13:28,4903485440,7499141120
16:13:33,4906934272,7503421440
16:13:38,4890726400,7464554496
16:13:43,4890128384,7463890944
16:13:48,4890222592,7462285312
16:13:53,4889849856,7461384192
16:13:58,4890165248,7463940096
16:14:03,4892512256,7466958848
16:14:08,4888453120,7463260160
16:14:13,4890394624,7463870464
16:14:18,4891828224,7464984576
16:14:23,4891701248,7464255488
16:14:28,4891877376,7464943616
16:14:33,4895072256,7467507712
16:14:38,4890587136,7464935424
16:14:43,4885491712,7462739968
16:14:48,4893511680,7483617280
16:14:53,4887908352,7464431616
16:14:58,4887973888,7463469056
16:15:03,4890787840,7466295296
16:15:08,4892606464,7469756416
16:15:13,4896247808,7470485504
16:15:18,4898226176,7376011264
16:15:23,4899037184,7375110144
16:15:28,4891705344,7360249856
16:15:33,4894572544,7361830912
